Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,16,8,0.25,2,3900.0084568086445,0.005780072576662574,0.2222222222222222,0,236.23395988965788,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,16,8,0.25,2,3904.002475880967,0.005679094949493349,0.15,9,807.9741056018997,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,16,8,0.25,2,3689.0055258104976,0.005414951741387642,0.17647058823529413,0,473.71257439172086,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,16,8,0.25,2,3689.0020515475435,0.005353710014615105,0.125,17,2090.8429949802858,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,16,8,0.25,2,3630.005144779594,0.005380846518366314,0.17647058823529413,0,433.50823342065314,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,16,8,0.25,2,3630.001519885954,0.005202536403619966,0.125,14,1644.7152457038728,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,16,8,0.25,2,3377.003790650592,0.005051083583335633,0.125,0,147.34375449034633,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,16,8,0.25,2,3377.001368191685,0.004961990600561482,0.125,10,496.30933336807175,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,16,8,0.25,2,3596.0054841534748,0.00526745622772524,0.1875,0,627.9333443075429,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,16,8,0.25,2,3596.001332814786,0.005144801518304855,0.125,18,2684.742574644364,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,16,8,0.25,2,3516.0064190293842,0.0052431910416910815,0.1875,0,222.02404970448697,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,16,8,0.25,2,3513.0021856996277,0.005187213788275383,0.125,11,676.3077768461535,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,16,8,0.25,2,3476.0052548803924,0.005166870299253675,0.1875,0,182.46251557311552,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,16,8,0.25,2,3476.0018456381904,0.004997616190129438,0.125,15,637.071110116327,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,16,8,0.25,2,3702.0027340475226,0.005471389417448212,0.125,0,165.06978768456793,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,16,8,0.25,2,3702.0018463269625,0.005436252148576813,0.125,12,617.494766723039,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,16,8,0.25,2,3823.0063255505725,0.005641194462814576,0.16666666666666666,0,263.63589427177794,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,16,8,0.25,2,3823.0022021948753,0.005617675624443639,0.13636363636363635,6,674.5023515599951,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,16,8,0.25,2,3713.0117252127216,0.005484610812380558,0.2,0,330.6947657756227,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,16,8,0.25,2,3713.0017799578577,0.005458323081622056,0.125,9,568.903976058853,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,16,12,0.25,3,4814.008671827234,0.007182882370712486,0.16666666666666666,0,420.80066334756157,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,16,12,0.25,3,4783.003368991538,0.007013976069386558,0.125,9,1376.312093105511,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,16,12,0.25,3,4363.005543714757,0.006444354732728337,0.1875,0,173.08169470222128,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,16,12,0.25,3,4378.001934770171,0.006286041344386797,0.1111111111111111,17,915.2902642968693,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,16,12,0.25,3,4494.017028296882,0.006699035019563234,0.23529411764705882,0,279.88873848694857,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,16,12,0.25,3,4495.005272428728,0.006495142002368286,0.17647058823529413,14,1008.157525702547,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,16,12,0.25,3,4405.011527381539,0.006527770633866178,0.1875,0,226.16901941092874,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,16,12,0.25,3,4437.002640978966,0.006471302642730291,0.125,10,957.4282420894924,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,16,12,0.25,3,4555.0054855436565,0.006689477504790163,0.15,0,228.5010567611389,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,16,12,0.25,3,4609.002145912372,0.006611456957453509,0.125,18,1007.5684131450507,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,16,12,0.25,3,4429.00746586328,0.006595334161365876,0.17647058823529413,0,334.3297098703151,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,16,12,0.25,3,4435.002206062807,0.006419673332648716,0.125,11,1412.334607210134,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,16,12,0.25,3,4423.007696974614,0.0064999981449499885,0.17647058823529413,0,298.881888685195,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,16,12,0.25,3,4423.0023689094305,0.006348532925826798,0.125,15,980.933915913869,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,16,12,0.25,3,4756.006634228239,0.006990494722560147,0.17647058823529413,0,646.0096869113186,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,16,12,0.25,3,4810.00230420426,0.00699935114715828,0.125,12,2632.0049285255263,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,16,12,0.25,3,4527.0094471367665,0.006695695155673487,0.1875,0,299.3166884571838,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,16,12,0.25,3,4527.005427324163,0.006604893660410849,0.19047619047619047,6,865.9773240455215,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,16,12,0.25,3,4431.007553667904,0.006521903652359824,0.1875,0,357.9640953856215,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,16,12,0.25,3,4396.004352409,0.006482627825797311,0.17647058823529413,9,1371.9368611865102,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,16,16,0.25,4,5433.009978304654,0.00805245231697709,0.1875,0,305.0998230704754,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,16,16,0.25,4,5496.004299301031,0.007930626545776084,0.125,9,1009.2216873281832,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,16,16,0.25,4,4805.015329453775,0.00717356326192455,0.25,0,202.37757361010517,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,16,16,0.25,4,4805.0040795212535,0.006982966337411765,0.15,17,950.4365509084892,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,16,16,0.25,4,5371.012795305787,0.007888922531720462,0.1875,0,411.51723898354976,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,16,16,0.25,4,5362.004589738547,0.0077977615242483846,0.15789473684210525,14,1588.0003872553862,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,16,16,0.25,4,4975.009681149056,0.007397169401863163,0.1875,0,282.5820811680969,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,16,16,0.25,4,4990.0050099628215,0.007272573384248646,0.1875,10,822.2403312474489,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,16,16,0.25,4,5243.021098557203,0.007783495564046263,0.25,0,311.70098633671296,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,16,16,0.25,4,5267.003703247487,0.007666241396612263,0.125,18,1253.5356373647373,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,16,16,0.25,4,5205.007289817244,0.007742973967324072,0.1875,0,195.51579180897534,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,16,16,0.25,4,5199.002870580436,0.007507084560044218,0.125,11,725.7129359879837,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,16,16,0.25,4,4949.015270645368,0.007351104405401241,0.23809523809523808,0,269.4159943976265,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,16,16,0.25,4,4946.002950117578,0.007128987374924716,0.125,15,1157.0138642166567,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,16,16,0.25,4,4996.007915979171,0.007407597495346958,0.1875,0,222.07080773342022,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,16,16,0.25,4,4997.00495564721,0.007207133246047193,0.1875,12,867.6466509711827,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,16,16,0.25,4,5304.011700527713,0.007825747364153594,0.2222222222222222,0,318.4080669126779,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,16,16,0.25,4,5245.005996377098,0.007612655912617028,0.17647058823529413,6,794.2188841676107,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,16,16,0.25,4,5139.009155382097,0.007603344746635303,0.1875,0,234.50151191451732,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,16,16,0.25,4,5126.004274554839,0.007430407450910047,0.1875,9,518.470370028248,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,16,24,0.25,6,6298.017639232954,0.009403466803517153,0.1875,0,267.0728209877416,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,16,24,0.25,6,6306.006549584172,0.009106468362672617,0.16666666666666666,9,930.3272406731048,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,16,24,0.25,6,6286.016871235132,0.009344332560186876,0.20833333333333334,0,384.12645763559703,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,16,24,0.25,6,6291.005425446353,0.00897323929782971,0.1875,17,1764.9983147877065,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,16,24,0.25,6,6019.012104071877,0.00889826253842671,0.1875,0,212.50264367924683,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,16,24,0.25,6,6031.004180274666,0.008684973309279974,0.125,14,785.8954327549363,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,16,24,0.25,6,6264.022861905143,0.00922650134590068,0.2777777777777778,0,417.7599786358187,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,16,24,0.25,6,6286.007235957278,0.009123198490415395,0.21052631578947367,10,1411.5104523427144,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,16,24,0.25,6,6169.018954167448,0.009140743981370113,0.25,0,208.76723661501455,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,16,24,0.25,6,6177.003709016946,0.008823447098637584,0.125,18,945.7013925403808,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,16,24,0.25,6,5947.015130012245,0.00885472353180462,0.2,0,198.25961467101297,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,16,24,0.25,6,5939.004255442785,0.008500590815250382,0.13636363636363635,11,746.6649877704695,0.15,4.0
