Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,8,4,0.25,1,333.0101081,0.013807002,0.2,0,11.89794,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,8,4,0.25,1,338.0175229,0.01387315,0.3,0,12.7863,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,8,4,0.25,1,333.0088697,0.013653044,0.214285714,50,495.51156,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,8,4,0.25,1,338.0058166,0.013917565,0.2,50,498.69546,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,8,4,0.25,1,368.011601,0.015167165,0.2,0,12.96228,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,8,4,0.25,1,375.0087367,0.015673828,0.2,0,12.8664,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,8,4,0.25,1,368.0036656,0.014938182,0.166666667,50,552.48258,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,8,4,0.25,1,375.0031873,0.015371677,0.166666667,50,463.05024,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,8,4,0.25,1,314.0102832,0.013145078,0.2,0,11.1099,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,8,4,0.25,1,342.0095428,0.014192748,0.214285714,0,12.20184,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,8,4,0.25,1,314.0036951,0.012873785,0.181818182,50,500.37456,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,8,4,0.25,1,342.0038845,0.01391802,0.166666667,50,483.8196,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,8,4,0.25,1,367.0149423,0.015265089,0.2,0,12.13752,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,8,4,0.25,1,345.0066705,0.014085085,0.2,0,11.826,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,8,4,0.25,1,368.0043921,0.015045267,0.181818182,50,493.4295,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,8,4,0.25,1,345.0067948,0.013984976,0.2,50,490.79232,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,8,4,0.25,1,366.0169943,0.01537282,0.272727273,0,12.16362,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,8,4,0.25,1,383.0231238,0.01629665,0.3,0,11.86548,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,8,4,0.25,1,366.0046876,0.014931666,0.2,50,498.73014,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,8,4,0.25,1,383.0048839,0.015777115,0.166666667,50,516.55488,0.22,4
