Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,6,False,0,16,16,0.1,1,2797.0152488581134,0.1348474945557524,0.001052073046194906,1.8333333333333333,2.8333333333333335,0,62.52420664197902,1.0,4.0,2.2789263156818476
VST-NCA,N/A,uniform,900,6,False,0,16,16,0.1,1,4141.059357371732,0.14150941059336136,0.0015487808410075278,1.5,4.0,0,71.59464301010836,1.0,4.0,2.292546933114611
VST-CA,mixed,zipfian,900,6,False,0,16,16,0.1,1,2797.0152488581134,0.1348474945557524,0.001052073046194906,1.8333333333333333,2.8333333333333335,2,112.75773660012374,1.0,4.0,2.2789263156818476
VST-CA,mixed,uniform,900,6,False,0,16,16,0.1,1,4141.059357371732,0.14150941059336136,0.0015487808410075278,1.5,4.0,2,126.59835957826525,1.0,4.0,2.292546933114611
VST-CA,pure,zipfian,900,6,False,0,16,16,0.1,1,2797.0152488581134,0.1348474945557524,0.001052073046194906,1.8333333333333333,2.8333333333333335,2,132.073614892484,1.0,4.0,2.2789263156818476
VST-CA,pure,uniform,900,6,False,0,16,16,0.1,1,4141.059357371732,0.14150941059336136,0.0015487808410075278,1.5,4.0,2,140.8507285697312,1.0,4.0,2.292546933114611
VST-NCA,N/A,zipfian,900,6,False,1,16,16,0.1,1,4828.619175081031,0.1355973149191514,0.001198867728471715,3.0,3.3333333333333335,0,75.87486553839312,1.0,4.0,2.2655051034061127
VST-NCA,N/A,uniform,900,6,False,1,16,16,0.1,1,4727.9209257866205,0.13675187458075289,0.0013320752538574611,3.3333333333333335,3.3333333333333335,0,71.97930485372353,1.0,4.0,2.2845068194370297
VST-CA,mixed,zipfian,900,6,False,1,16,16,0.1,1,4828.619175081031,0.1355973149191514,0.001198867728471715,3.0,3.3333333333333335,2,137.2583672127239,1.0,4.0,2.2655051034061127
VST-CA,mixed,uniform,900,6,False,1,16,16,0.1,1,4727.9209257866205,0.13675187458075289,0.0013320752538574611,3.3333333333333335,3.3333333333333335,2,132.43677393199482,1.0,4.0,2.2845068194370297
