Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,Melbourne,461,3,False,0,4,10,N/A,5,1.8609969498739989,0.1424869315820336,0.0037439637146417554,1.3333333333333333,1.6666666666666667,0,9.458176074932961,1.0,4.0,1.5614526551843984
VST-CA,mixed,Melbourne,461,3,False,0,4,10,N/A,5,1.8609969498739989,0.1424869315820336,0.0037439637146417554,1.3333333333333333,1.6666666666666667,2,14.590280631488946,1.0,4.0,1.5614526551843984
VST-CA,pure,Melbourne,461,3,False,0,4,10,N/A,5,1.8609969498739989,0.1424869315820336,0.0037439637146417554,1.3333333333333333,1.6666666666666667,2,16.05428992231721,1.0,4.0,1.5614526551843984
VST-NCA,N/A,Melbourne,340,4,False,1,6,10,N/A,67,5.752621967360194,0.1886064218338725,0.005395411269737869,2.0,2.5,0,8.275939889099028,1.0,4.0,1.7948065190947768
VST-CA,mixed,Melbourne,340,4,False,1,6,10,N/A,67,5.752621967360194,0.1886064218338725,0.005395411269737869,2.0,2.5,2,12.72850499220172,1.0,4.0,1.7948065190947768
VST-CA,pure,Melbourne,340,4,False,1,6,10,N/A,67,5.752621967360194,0.1886064218338725,0.005395411269737869,2.0,2.5,2,13.397246857891297,1.0,4.0,1.7948065190947768
VST-NCA,N/A,Melbourne,430,4,False,2,5,10,N/A,8,1.1013802616168304,0.12304454725275402,0.002755066858133843,0.5,1.0,0,7.459354007952626,1.0,4.0,1.682382932666873
VST-CA,mixed,Melbourne,430,4,False,2,5,10,N/A,8,1.0360963447935774,0.12439152270481861,0.002755066858133843,0.5,1.0,3,13.7259193818536,1.0,4.0,1.6568673977316555
VST-CA,pure,Melbourne,430,4,False,2,5,10,N/A,8,1.0360963447935774,0.12439152270481861,0.002755066858133843,0.5,1.0,3,18.821651308930697,1.0,4.0,1.6568673977316555
VST-NCA,N/A,Melbourne,212,1,False,3,1,10,N/A,2,0.38958967950067047,0.2857204684172714,0.021346969298019172,1.0,1.0,0,0.09405739897073317,1.0,4.0,0.8370062826214659
VST-CA,mixed,Melbourne,212,1,False,3,1,10,N/A,2,0.38958967950067047,0.2857204684172714,0.021346969298019172,1.0,1.0,2,0.5328216588091692,1.0,4.0,0.8370062826214659
VST-CA,pure,Melbourne,212,1,False,3,1,10,N/A,2,0.38958967950067047,0.2857204684172714,0.021346969298019172,1.0,1.0,2,0.3221184951668761,1.0,4.0,0.8370062826214659
VST-NCA,N/A,Melbourne,81,1,False,4,1,10,N/A,1,0.2890977394301111,0.37733432541872935,0.09705198779129544,1.0,2.0,0,0.11572955068407964,1.0,4.0,1.0866721839996647
VST-CA,mixed,Melbourne,81,1,False,4,1,10,N/A,1,0.2890977394301111,0.37733432541872935,0.09705198779129544,1.0,2.0,2,0.2056965535590507,1.0,4.0,1.0866721839996647
VST-CA,pure,Melbourne,81,1,False,4,1,10,N/A,1,0.2890977394301111,0.37733432541872935,0.09705198779129544,1.0,2.0,2,0.1726378475721333,1.0,4.0,1.0866721839996647
VST-NCA,N/A,Melbourne,218,2,False,5,3,10,N/A,34,0.568699453303567,0.22517329202682276,0.010316755283210105,1.0,1.5,0,4.4365615566716485,1.0,4.0,1.2752740883887004
VST-CA,mixed,Melbourne,218,2,False,5,3,10,N/A,34,0.5038605926531132,0.2250159765361146,0.006935164505845188,1.0,1.0,3,3.6789461446970506,1.0,4.0,1.1820005965706106
