Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,Quito,608,3,False,0,9,10,N/A,166,1.886832471256247,0.15501988766581368,0.003845277916622641,1.0,1.6666666666666667,0,8.229115472568648,1.0,4.0,1.356243728513321
VST-CA,mixed,Quito,608,3,False,0,9,10,N/A,166,1.7757704965575978,0.1543341517678527,0.003845277916622641,1.0,1.6666666666666667,3,16.06274546028009,1.0,4.0,1.3597140479864482
VST-CA,pure,Quito,608,3,False,0,9,10,N/A,166,1.7757704965575978,0.1543341517678527,0.003845277916622641,1.0,1.6666666666666667,3,33.76648543709249,1.0,4.0,1.3597140479864482
VST-NCA,N/A,Quito,103,1,False,1,1,10,N/A,2,0.6051705042697533,0.30080394504593044,0.036583164098886144,1.0,2.0,0,0.03823703217722141,1.0,4.0,0.9117108094330444
VST-CA,mixed,Quito,103,1,False,1,1,10,N/A,2,0.6051705042697533,0.30080394504593044,0.036583164098886144,1.0,2.0,2,0.09811384659474243,1.0,4.0,0.9117108094330444
VST-CA,pure,Quito,103,1,False,1,1,10,N/A,2,0.6051705042697533,0.30080394504593044,0.036583164098886144,1.0,2.0,2,0.1330424817753908,1.0,4.0,0.9117108094330444
VST-NCA,N/A,Quito,146,1,False,2,1,10,N/A,1,5.322829307491807,0.28292033844310316,0.028760141260498313,3.0,3.0,0,0.45851477015108344,1.0,4.0,0.9218745653572226
VST-CA,mixed,Quito,146,1,False,2,1,10,N/A,1,5.322829307491807,0.28292033844310316,0.028760141260498313,3.0,3.0,2,1.312328703314435,1.0,4.0,0.9218745653572226
VST-CA,pure,Quito,146,1,False,2,1,10,N/A,1,5.322829307491807,0.28292033844310316,0.028760141260498313,3.0,3.0,2,1.21295126302131,1.0,4.0,0.9218745653572226
VST-NCA,N/A,Quito,50,1,False,3,1,10,N/A,1,3.4480797017299523,0.5883927906558485,0.09491120874459241,1.0,3.0,0,0.13325130435160304,1.0,4.0,1.4206126574977567
VST-CA,mixed,Quito,50,1,False,3,1,10,N/A,1,3.4480797017299523,0.5883927906558485,0.09491120874459241,1.0,3.0,2,0.37146654634696574,1.0,4.0,1.4206126574977567
VST-CA,pure,Quito,50,1,False,3,1,10,N/A,1,3.4480797017299523,0.5883927906558485,0.09491120874459241,1.0,3.0,2,0.3764751301785765,1.0,4.0,1.4206126574977567
VST-NCA,N/A,Quito,443,2,False,4,6,10,N/A,55,4.5529283800925775,0.26108492514325604,0.005078542799837186,2.5,3.0,0,6.781617770998608,1.0,4.0,1.518932418760347
VST-CA,mixed,Quito,443,2,False,4,6,10,N/A,55,1.8793248956130568,0.266491513936908,0.004612777077497624,1.0,2.0,3,17.043247984506863,1.0,4.0,1.4414533997576493
VST-CA,pure,Quito,443,2,False,4,6,10,N/A,55,1.8793248956130568,0.266491513936908,0.004612777077497624,1.0,2.0,3,18.138895829903944,1.0,4.0,1.4414533997576493
VST-NCA,N/A,Quito,513,2,False,5,6,10,N/A,49,7.354478019758528,0.2329570828516292,0.00733743811174181,2.0,2.5,0,7.167126352659096,1.0,4.0,1.4078813535548256
VST-CA,mixed,Quito,513,2,False,5,6,10,N/A,49,6.613037274610362,0.23066553313174898,0.005688945176258576,2.5,2.5,3,16.24850202368421,1.0,4.0,1.401524945582639
VST-CA,pure,Quito,513,2,False,5,6,10,N/A,49,6.613037274610362,0.23066553313174898,0.005688945176258576,2.5,2.5,3,18.022784161537885,1.0,4.0,1.401524945582639
VST-NCA,N/A,Quito,508,2,False,6,6,10,N/A,60,3.4551180652348426,0.24395239708774202,0.006479926570064916,1.5,2.0,0,10.375753133029434,1.0,4.0,1.4934187637995489
VST-CA,mixed,Quito,508,2,False,6,6,10,N/A,60,3.4551180652348426,0.24395239708774202,0.006479926570064916,1.5,2.0,2,18.755719429302502,1.0,4.0,1.4934187637995489
VST-CA,pure,Quito,508,2,False,6,6,10,N/A,60,3.4551180652348426,0.24395239708774202,0.006479926570064916,1.5,2.0,2,19.255110527934278,1.0,4.0,1.4934187637995489
VST-NCA,N/A,Quito,637,2,False,7,5,10,N/A,58,8.445873819296764,0.1573458235107819,0.00733004722407689,2.5,3.5,0,8.250711437595413,1.0,4.0,1.115731726221584
VST-CA,mixed,Quito,637,2,False,7,5,10,N/A,58,8.445873819296764,0.1573458235107819,0.00733004722407689,2.5,3.5,2,15.894611706459415,1.0,4.0,1.115731726221584
VST-CA,pure,Quito,637,2,False,7,5,10,N/A,58,8.445873819296764,0.1573458235107819,0.00733004722407689,2.5,3.5,2,15.699239041058291,1.0,4.0,1.115731726221584
VST-NCA,N/A,Quito,557,1,False,8,3,10,N/A,44,4.952696778840248,0.20512758951355328,0.01733701820138377,1.0,4.0,0,3.4276848208093043,1.0,4.0,0.8444955411128183
VST-CA,mixed,Quito,557,1,False,8,3,10,N/A,44,4.952696778840248,0.20512758951355328,0.01733701820138377,1.0,4.0,2,3.8150814901484296,1.0,4.0,0.8444955411128183
VST-CA,pure,Quito,557,1,False,8,3,10,N/A,44,4.952696778840248,0.20512758951355328,0.01733701820138377,1.0,4.0,2,3.8340042103999963,1.0,4.0,0.8444955411128183
VST-NCA,N/A,Quito,77,1,False,9,1,10,N/A,2,0.7471931019164291,0.2999416125682519,0.05310191300476501,2.0,2.0,0,0.05133206302889448,1.0,4.0,1.0274310299352272
VST-CA,mixed,Quito,77,1,False,9,1,10,N/A,2,0.7471931019164291,0.2999416125682519,0.05310191300476501,2.0,2.0,2,0.10412548934158394,1.0,4.0,1.0274310299352272
VST-CA,pure,Quito,77,1,False,9,1,10,N/A,2,0.7471931019164291,0.2999416125682519,0.05310191300476501,2.0,2.0,2,0.10886248539918597,1.0,4.0,1.0274310299352272
VST-NCA,N/A,Quito,486,1,False,10,3,10,N/A,15,6.344345266656991,0.2580566389151615,0.009607981764622523,2.0,3.0,0,4.304647664206982,1.0,4.0,1.0213446386703313
VST-CA,mixed,Quito,486,1,False,10,3,10,N/A,15,6.344345266656991,0.2580566389151615,0.009607981764622523,2.0,3.0,2,4.580895458049724,1.0,4.0,1.0213446386703313
VST-CA,pure,Quito,486,1,False,10,3,10,N/A,15,6.344345266656991,0.2580566389151615,0.009607981764622523,2.0,3.0,2,5.8393854379214645,1.0,4.0,1.0213446386703313
VST-NCA,N/A,Quito,526,2,False,11,6,10,N/A,44,32.078273867312305,0.28252016042046674,0.011620939934539923,2.0,5.5,0,11.651329457681072,1.0,4.0,1.6366312741233362
VST-CA,mixed,Quito,526,2,False,11,6,10,N/A,44,32.078273867312305,0.28252016042046674,0.011620939934539923,2.0,5.5,2,23.798358315066253,1.0,4.0,1.6366312741233362
VST-CA,pure,Quito,526,2,False,11,6,10,N/A,44,32.078273867312305,0.28252016042046674,0.011620939934539923,2.0,5.5,2,23.241841017727836,1.0,4.0,1.6366312741233362
VST-NCA,N/A,Quito,290,1,False,12,1,10,N/A,1,5.440241845128672,0.2505352651409208,0.014025699582235247,3.0,3.0,0,0.7233531142393872,1.0,4.0,0.8298729479756228
VST-CA,mixed,Quito,290,1,False,12,1,10,N/A,1,5.440241845128672,0.2505352651409208,0.014025699582235247,3.0,3.0,2,2.5652128431016195,1.0,4.0,0.8298729479756228
VST-CA,pure,Quito,290,1,False,12,1,10,N/A,1,5.440241845128672,0.2505352651409208,0.014025699582235247,3.0,3.0,2,2.5040092750382996,1.0,4.0,0.8298729479756228
VST-NCA,N/A,Quito,634,3,False,13,7,10,N/A,114,1.4743884019316553,0.1298826784290449,0.002574080333693205,0.6666666666666666,1.6666666666666667,0,9.640717797012655,1.0,4.0,1.3446529415566537
VST-CA,mixed,Quito,634,3,False,13,7,10,N/A,114,1.4743884019316553,0.1298826784290449,0.002574080333693205,0.6666666666666666,1.6666666666666667,2,18.64088911837007,1.0,4.0,1.3446529415566537
VST-CA,pure,Quito,634,3,False,13,7,10,N/A,114,1.4743884019316553,0.1298826784290449,0.002574080333693205,0.6666666666666666,1.6666666666666667,2,17.509546823429673,1.0,4.0,1.3446529415566537
VST-NCA,N/A,Quito,373,2,False,14,4,10,N/A,20,1.4744184868280024,0.21214959092925448,0.007078843425744968,1.0,2.0,0,3.939640801483961,1.0,4.0,1.2855816868536678
VST-CA,mixed,Quito,373,2,False,14,4,10,N/A,20,1.4744184868280024,0.21214959092925448,0.007078843425744968,1.0,2.0,2,4.5087735088232535,1.0,4.0,1.2855816868536678
VST-CA,pure,Quito,373,2,False,14,4,10,N/A,20,1.4744184868280024,0.21214959092925448,0.007078843425744968,1.0,2.0,2,4.738890461308415,1.0,4.0,1.2855816868536678
VST-NCA,N/A,Quito,262,1,False,15,1,10,N/A,1,1.5514287429274671,0.2135213360170226,0.013969828074255532,1.0,3.0,0,0.9541821951318639,1.0,4.0,0.8346913915249395
VST-CA,mixed,Quito,262,1,False,15,1,10,N/A,1,1.5514287429274671,0.2135213360170226,0.013969828074255532,1.0,3.0,2,2.21556450584643,1.0,4.0,0.8346913915249395
VST-CA,pure,Quito,262,1,False,15,1,10,N/A,1,1.5514287429274671,0.2135213360170226,0.013969828074255532,1.0,3.0,2,2.3363085616072112,1.0,4.0,0.8346913915249395
VST-NCA,N/A,Quito,600,2,False,16,5,10,N/A,42,2.3192383516244357,0.13175264266794323,0.0024245160439041523,1.0,2.0,0,6.746111222298964,1.0,4.0,1.1665376306758513
VST-CA,mixed,Quito,600,2,False,16,5,10,N/A,42,2.3192383516244357,0.13175264266794323,0.0024245160439041523,1.0,2.0,2,10.451160583771639,1.0,4.0,1.1665376306758513
VST-CA,pure,Quito,600,2,False,16,5,10,N/A,42,2.3192383516244357,0.13175264266794323,0.0024245160439041523,1.0,2.0,2,10.552439927981936,1.0,4.0,1.1665376306758513
VST-NCA,N/A,Quito,691,2,False,17,6,10,N/A,29,13.690408751342572,0.20931097275685248,0.011462281702951375,3.0,3.0,0,5.165808283506067,1.0,4.0,1.3074946220694819
VST-CA,mixed,Quito,691,2,False,17,6,10,N/A,29,13.690408751342572,0.20931097275685248,0.011462281702951375,3.0,3.0,2,6.872262953809127,1.0,4.0,1.3074946220694819
VST-CA,pure,Quito,691,2,False,17,6,10,N/A,29,12.268962364239028,0.2203249127857921,0.011462281702951375,3.0,3.0,3,14.338550344991404,1.0,4.0,1.3194381594112723
VST-NCA,N/A,Quito,470,2,False,18,6,10,N/A,21,50.68655732097308,0.32579312778705644,0.009745718965482878,1.5,4.5,0,5.517976307914182,1.0,4.0,1.8030287200154937
VST-CA,mixed,Quito,470,2,False,18,6,10,N/A,21,50.68655732097308,0.32579312778705644,0.009745718965482878,1.5,4.5,2,9.518511193719064,1.0,4.0,1.8030287200154937
VST-CA,pure,Quito,470,2,False,18,6,10,N/A,21,50.68655732097308,0.32579312778705644,0.009745718965482878,1.5,4.5,2,10.33440231544364,1.0,4.0,1.8030287200154937
VST-NCA,N/A,Quito,214,1,False,19,3,10,N/A,4,112.12414128224886,0.5668844351546026,0.04880078138454439,5.0,7.0,0,4.59024549876824,1.0,4.0,1.468382072813856
