Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Total.POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,Melbourne,461,2,False,0,4,10,N/A,5,5.749283907576492,0.21373039737305055,0.005615945571962633,2.0,2.5,0,9.04713034752577,1.0,4.0,1.5614526551843986
VST-CA,mixed,Melbourne,461,2,False,0,4,10,N/A,5,5.749283907576492,0.21373039737305055,0.005615945571962633,2.0,2.5,2,14.634921292836756,1.0,4.0,1.5614526551843986
VST-CA,pure,Melbourne,461,2,False,0,4,10,N/A,5,5.749283907576492,0.21373039737305055,0.005615945571962633,2.0,2.5,2,18.463515853738933,1.0,4.0,1.5614526551843986
VST-NCA,N/A,Melbourne,340,2,False,1,6,10,N/A,67,75.39968529342222,0.377212843667745,0.010790822539475739,4.0,5.0,0,8.525576818088688,1.0,4.0,1.7948065190947768
VST-CA,mixed,Melbourne,340,2,False,1,6,10,N/A,67,75.39968529342222,0.377212843667745,0.010790822539475739,4.0,5.0,2,12.486978195212401,1.0,4.0,1.7948065190947768
VST-CA,pure,Melbourne,340,2,False,1,6,10,N/A,67,75.39968529342222,0.377212843667745,0.010790822539475739,4.0,5.0,2,13.780120090745058,1.0,4.0,1.7948065190947768
VST-NCA,N/A,Melbourne,430,2,False,2,5,10,N/A,8,3.7615432107281936,0.24608909450550803,0.005510133716267686,1.0,2.0,0,7.1332813053266335,1.0,4.0,1.682382932666873
VST-CA,mixed,Melbourne,430,2,False,2,5,10,N/A,8,2.49791524413027,0.2536993719648682,0.005510133716267686,1.0,2.0,3,16.558315382092033,1.0,4.0,1.654911528794784
VST-CA,pure,Melbourne,430,2,False,2,5,10,N/A,8,2.49791524413027,0.2536993719648682,0.005510133716267686,1.0,2.0,3,23.71224209523652,1.0,4.0,1.654911528794784
VST-NCA,N/A,Melbourne,212,1,False,3,1,10,N/A,2,0.38958967950067047,0.2857204684172714,0.021346969298019172,1.0,1.0,0,0.10679597086905801,1.0,4.0,0.8370062826214659
VST-CA,mixed,Melbourne,212,1,False,3,1,10,N/A,2,0.38958967950067047,0.2857204684172714,0.021346969298019172,1.0,1.0,2,0.37466362393621466,1.0,4.0,0.8370062826214659
VST-CA,pure,Melbourne,212,1,False,3,1,10,N/A,2,0.38958967950067047,0.2857204684172714,0.021346969298019172,1.0,1.0,2,0.3204147555848351,1.0,4.0,0.8370062826214659
VST-NCA,N/A,Melbourne,81,1,False,4,1,10,N/A,1,0.2890977394301111,0.37733432541872935,0.09705198779129544,1.0,2.0,0,0.0841582614592653,1.0,4.0,1.0866721839996647
VST-CA,mixed,Melbourne,81,1,False,4,1,10,N/A,1,0.2890977394301111,0.37733432541872935,0.09705198779129544,1.0,2.0,2,0.1740723678782956,1.0,4.0,1.0866721839996647
VST-CA,pure,Melbourne,81,1,False,4,1,10,N/A,1,0.2890977394301111,0.37733432541872935,0.09705198779129544,1.0,2.0,2,0.21093725019747467,1.0,4.0,1.0866721839996647
VST-NCA,N/A,Melbourne,218,1,False,5,3,10,N/A,34,2.9959545674020425,0.4503465840536455,0.02063351056642021,2.0,3.0,0,3.0298008369482545,1.0,4.0,1.2752740883887004
VST-CA,mixed,Melbourne,218,1,False,5,3,10,N/A,34,2.9959545674020425,0.4503465840536455,0.02063351056642021,2.0,3.0,2,3.5787456513389486,1.0,4.0,1.2752740883887004
VST-CA,pure,Melbourne,218,1,False,5,3,10,N/A,34,2.9959545674020425,0.4503465840536455,0.02063351056642021,2.0,3.0,2,3.539650038626263,1.0,4.0,1.2752740883887004
VST-NCA,N/A,Melbourne,295,1,False,6,3,10,N/A,5,40.09516485873599,0.5244178333189159,0.02396812819072824,1.0,5.0,0,4.789579871872178,1.0,4.0,1.4952804925842038
VST-CA,mixed,Melbourne,295,1,False,6,3,10,N/A,5,21.783061267207604,0.6082652491739864,0.043639002759720456,2.0,5.0,3,9.274861827746236,1.0,4.0,1.5997478002015817
VST-CA,pure,Melbourne,295,1,False,6,3,10,N/A,5,21.783061267207604,0.6082652491739864,0.043639002759720456,2.0,5.0,3,13.41195286215222,1.0,4.0,1.5997478002015817
VST-NCA,N/A,Melbourne,339,2,False,7,6,10,N/A,14,8.459846982143246,0.35291441333159496,0.009840417093750598,1.5,3.0,0,5.891513711037732,1.0,4.0,1.8817937463541454
VST-CA,mixed,Melbourne,339,2,False,7,6,10,N/A,14,8.459846982143246,0.35291441333159496,0.009840417093750598,1.5,3.0,2,8.589774167660437,1.0,4.0,1.8817937463541454
VST-CA,pure,Melbourne,339,2,False,7,6,10,N/A,14,8.459846982143246,0.35291441333159496,0.009840417093750598,1.5,3.0,2,9.072627623555661,1.0,4.0,1.8817937463541454
VST-NCA,N/A,Melbourne,649,1,False,8,2,10,N/A,2,16.200051860664736,0.2651559011663247,0.012851034261823052,4.0,4.0,0,8.351457869749197,1.0,4.0,0.9059908251891656
VST-CA,mixed,Melbourne,649,1,False,8,2,10,N/A,2,16.200051860664736,0.2651559011663247,0.012851034261823052,4.0,4.0,2,17.131843232273468,1.0,4.0,0.9059908251891656
VST-CA,pure,Melbourne,649,1,False,8,2,10,N/A,2,16.200051860664736,0.2651559011663247,0.012851034261823052,4.0,4.0,2,18.907778187001583,1.0,4.0,0.9059908251891656
VST-NCA,N/A,Melbourne,122,1,False,9,2,10,N/A,2,16.944035031974366,0.6682342215475221,0.034390579086177875,3.0,4.0,0,3.4132914582881426,1.0,4.0,1.7631313243767577
VST-CA,mixed,Melbourne,122,1,False,9,2,10,N/A,2,16.944035031974366,0.6682342215475221,0.034390579086177875,3.0,4.0,2,3.884304792537307,1.0,4.0,1.7631313243767577
VST-CA,pure,Melbourne,122,1,False,9,2,10,N/A,2,16.944035031974366,0.6682342215475221,0.034390579086177875,3.0,4.0,2,4.556517297338473,1.0,4.0,1.7631313243767577
VST-NCA,N/A,Melbourne,401,2,False,10,6,10,N/A,10,15.021871681860738,0.3542623356863594,0.01002175769961205,1.0,3.5,0,5.167346622975799,1.0,4.0,1.8174288676325223
VST-CA,mixed,Melbourne,401,2,False,10,6,10,N/A,10,15.021871681860738,0.3542623356863594,0.01002175769961205,1.0,3.5,2,7.933632316734531,1.0,4.0,1.8174288676325223
VST-CA,pure,Melbourne,401,2,False,10,6,10,N/A,10,15.021871681860738,0.3542623356863594,0.01002175769961205,1.0,3.5,2,8.284552142681491,1.0,4.0,1.8174288676325223
VST-NCA,N/A,Melbourne,215,2,False,11,5,10,N/A,6,31.948499528125748,0.4787026937840663,0.025182267860790697,2.5,5.5,0,4.869047322985352,1.0,4.0,2.344628391862519
VST-CA,mixed,Melbourne,215,2,False,11,5,10,N/A,6,31.948499528125748,0.4787026937840663,0.025182267860790697,2.5,5.5,2,7.785359208384818,1.0,4.0,2.344628391862519
VST-CA,pure,Melbourne,215,2,False,11,5,10,N/A,6,31.948499528125748,0.4787026937840663,0.025182267860790697,2.5,5.5,2,8.223157121027498,1.0,4.0,2.344628391862519
VST-NCA,N/A,Melbourne,159,1,False,12,3,10,N/A,4,126.85007799426768,0.7419532966817003,0.05443201413541802,2.0,7.0,0,3.2459144395876933,1.0,4.0,1.7599130231895497
VST-CA,mixed,Melbourne,159,1,False,12,3,10,N/A,4,126.85007799426768,0.7419532966817003,0.05443201413541802,2.0,7.0,2,3.7069824506138502,1.0,4.0,1.7599130231895497
VST-CA,pure,Melbourne,159,1,False,12,3,10,N/A,4,126.85007799426768,0.7419532966817003,0.05443201413541802,2.0,7.0,2,3.7825746442022705,1.0,4.0,1.7599130231895497
VST-NCA,N/A,Melbourne,144,1,False,13,1,10,N/A,13,2.3926826946327733,0.2851336775170341,0.04556103998354188,2.0,2.0,0,0.2545673523862888,1.0,4.0,0.8194739438345435
VST-CA,mixed,Melbourne,144,1,False,13,1,10,N/A,13,2.3926826946327733,0.2851336775170341,0.04556103998354188,2.0,2.0,2,0.8539224893229971,1.0,4.0,0.8194739438345435
