Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Num POIs query,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,1,False,0,4,4,0.1,1,658.5883292847392,0.07257081306797607,0.002030813284273683,2.0,4.0,0,1.9537090681619564,1.0,4.0,0.574207244347985
VST-NCA,N/A,uniform,900,1,False,0,4,4,0.1,1,314.27866996483107,0.07633077132307228,0.0020650411213433703,2.0,3.0,0,1.9255338310676315,1.0,4.0,0.6258149698140577
VST-CA,mixed,zipfian,900,1,False,0,4,4,0.1,1,658.5883292847392,0.07257081306797607,0.002030813284273683,2.0,4.0,2,2.5030643553102405,1.0,4.0,0.574207244347985
VST-CA,mixed,uniform,900,1,False,0,4,4,0.1,1,314.27866996483107,0.07633077132307228,0.0020650411213433703,2.0,3.0,2,2.5100834044492295,1.0,4.0,0.6258149698140577
VST-CA,pure,zipfian,900,1,False,0,4,4,0.1,1,658.5883292847392,0.07257081306797607,0.002030813284273683,2.0,4.0,2,2.538228878065702,1.0,4.0,0.574207244347985
VST-CA,pure,uniform,900,1,False,0,4,4,0.1,1,314.27866996483107,0.07633077132307228,0.0020650411213433703,2.0,3.0,2,2.6580042972304057,1.0,4.0,0.6258149698140577
VST-NCA,N/A,zipfian,900,1,False,1,4,4,0.1,1,1143.727838084419,0.06932255523756443,0.00266807364701277,3.0,3.0,0,1.9545845249415361,1.0,4.0,0.5589370501320211
VST-NCA,N/A,uniform,900,1,False,1,4,4,0.1,1,388.4103189624157,0.076164091010401,0.00177871576467518,2.0,2.0,0,2.0984991509711364,1.0,4.0,0.6310452725441776
VST-CA,mixed,zipfian,900,1,False,1,4,4,0.1,1,1143.727838084419,0.06932255523756443,0.00266807364701277,3.0,3.0,2,2.5210656146132493,1.0,4.0,0.5589370501320211
VST-CA,mixed,uniform,900,1,False,1,4,4,0.1,1,388.4103189624157,0.076164091010401,0.00177871576467518,2.0,2.0,2,2.7537138918980233,1.0,4.0,0.6310452725441776
VST-CA,pure,zipfian,900,1,False,1,4,4,0.1,1,1103.3034145525758,0.07040648567070049,0.00266807364701277,3.0,3.0,3,3.2034698057214612,1.0,4.0,0.5308699766702485
VST-CA,pure,uniform,900,1,False,1,4,4,0.1,1,388.4103189624157,0.076164091010401,0.00177871576467518,2.0,2.0,2,2.8560930714215687,1.0,4.0,0.6310452725441776
VST-NCA,N/A,zipfian,900,1,False,2,4,4,0.1,1,508.683210046432,0.06973486376080755,0.001643774608151057,2.0,3.0,0,2.071701244472589,1.0,4.0,0.5714392778934319
VST-NCA,N/A,uniform,900,1,False,2,4,4,0.1,1,366.4681776277188,0.0625662217281542,0.001643774608151057,2.0,3.0,0,1.8722402713197575,1.0,4.0,0.5554951532286705
VST-CA,mixed,zipfian,900,1,False,2,4,4,0.1,1,508.683210046432,0.06973486376080755,0.001643774608151057,2.0,3.0,2,2.968629294343856,1.0,4.0,0.5714392778934319
VST-CA,mixed,uniform,900,1,False,2,4,4,0.1,1,366.4681776277188,0.0625662217281542,0.001643774608151057,2.0,3.0,2,2.4647695357461927,1.0,4.0,0.5554951532286705
VST-CA,pure,zipfian,900,1,False,2,4,4,0.1,1,508.683210046432,0.06973486376080755,0.001643774608151057,2.0,3.0,2,2.9948103784220947,1.0,4.0,0.5714392778934319
VST-CA,pure,uniform,900,1,False,2,4,4,0.1,1,366.4681776277188,0.0625662217281542,0.001643774608151057,2.0,3.0,2,2.528845685091113,1.0,4.0,0.5554951532286705
VST-NCA,N/A,zipfian,900,1,False,3,4,4,0.1,1,444.213794950817,0.07484738964712308,0.0018774137442618129,2.0,2.0,0,2.1584992433405503,1.0,4.0,0.5866464406063036
