Spiders,0,100,13,6,1,0.02692736759747073,79.0,2,0,0,55,89,88,72,32,14
Dreyfus,0,100,13,6,1,0.026680646228400037,71.0,2,0,0,55,89,88,72,32,14
Gravitation 2,0,100,13,6,1,0.026057724115770356,72.0,1,0,0,55,89,88,72,32,14
Gravitation 3,0,100,13,6,1,0.02158555389144734,86.0,2,0,0,55,89,88,72,32,14
Spiders,0,100,13,6,2,0.03594789560488579,83.0,1,0,0,14,3,76,88,19,91
Dreyfus,0,100,13,6,2,0.02573994699240728,87.0,1,0,0,14,3,76,88,19,91
Gravitation 2,0,100,13,6,2,0.029966185356040648,115.0,5,3,0,14,3,76,88,19,91
Gravitation 3,0,100,13,6,2,0.03183455693973919,122.0,5,1,0,14,3,76,88,19,91
Spiders,0,100,13,6,3,0.016576912722217008,111.0,2,0,0,49,96,13,77,36,23
Dreyfus,0,100,13,6,3,0.025098076678633008,71.0,1,0,0,49,96,13,77,36,23
Gravitation 2,0,100,13,6,3,0.017386158812768893,79.0,2,1,0,49,96,13,77,36,23
Gravitation 3,0,100,13,6,3,0.01695469248253806,124.0,2,1,0,49,96,13,77,36,23
Spiders,0,400,65,6,1,0.09841695674520434,107.0,7,2,0,288,70,27,107,201,187
Dreyfus,0,400,65,6,1,0.36338623302655676,103.0,4,0,0,288,70,27,107,201,187
Gravitation 2,0,400,65,6,1,0.09441809679530655,106.0,7,1,0,288,70,27,107,201,187
Gravitation 3,0,400,65,6,1,0.09485824771772866,107.0,7,2,0,288,70,27,107,201,187
Spiders,0,400,65,6,2,0.1544175757197751,129.0,8,2,0,103,141,44,192,164,331
Dreyfus,0,400,65,6,2,0.377607647493982,108.0,5,2,0,103,141,44,192,164,331
Gravitation 2,0,400,65,6,2,0.15477324924542746,135.0,9,1,0,103,141,44,192,164,331
Gravitation 3,0,400,65,6,2,0.15258236348807963,125.0,8,1,0,103,141,44,192,164,331
Spiders,0,400,65,6,3,0.47744571932503344,175.0,10,3,0,260,329,233,310,28,2
Dreyfus,0,400,65,6,3,0.4597800745453813,137.0,2,0,0,260,329,233,310,28,2
Gravitation 2,0,400,65,6,3,0.3734275953706385,206.0,12,3,0,260,329,233,310,28,2
Gravitation 3,0,400,65,6,3,0.3191421833538475,214.0,13,0,0,260,329,233,310,28,2
Spiders,0,900,135,6,1,3.4375889677256866,222.0,16,2,0,795,74,843,772,665,116
Dreyfus,0,900,135,6,1,1.8430311279469391,210.0,14,2,1,795,74,843,772,665,116
Gravitation 2,0,900,135,6,1,3.5744056383530545,283.0,22,1,0,795,74,843,772,665,116
Gravitation 3,0,900,135,6,1,3.762372977970349,224.0,16,1,0,795,74,843,772,665,116
Spiders,0,900,135,6,2,3.207473723187306,215.0,13,0,0,426,503,829,813,184,643
Dreyfus,0,900,135,6,2,1.753214285996254,202.0,9,2,0,426,503,829,813,184,643
Gravitation 2,0,900,135,6,2,3.192075151723774,296.0,25,3,0,426,503,829,813,184,643
Gravitation 3,0,900,135,6,2,3.1460554977021324,299.0,25,1,0,426,503,829,813,184,643
Spiders,0,900,135,6,3,0.4586463405102279,128.0,5,1,0,745,576,696,588,671,609
Dreyfus,0,900,135,6,3,1.747079016367298,113.0,5,0,0,745,576,696,588,671,609
Gravitation 2,0,900,135,6,3,0.4449404750156134,153.0,11,1,0,745,576,696,588,671,609
Gravitation 3,0,900,135,6,3,0.4547366950073872,163.0,9,3,0,745,576,696,588,671,609
Spiders,1,100,20,6,1,0.027682137609730262,57.0,5,0,0,25,82,94,51,52,31
Dreyfus,1,100,20,6,1,0.03589855133107278,51.0,4,0,0,25,82,94,51,52,31
Gravitation 2,1,100,20,6,1,0.022564149529731736,57.0,5,0,0,25,82,94,51,52,31
Gravitation 3,1,100,20,6,1,0.02192741102043172,61.0,4,0,0,25,82,94,51,52,31
Spiders,1,100,20,6,2,0.05179214454950909,101.0,11,2,0,94,1,66,69,20,99
Dreyfus,1,100,20,6,2,0.03616619467224069,78.0,6,2,0,94,1,66,69,20,99
Gravitation 2,1,100,20,6,2,0.05224019055574303,95.0,10,2,0,94,1,66,69,20,99
Gravitation 3,1,100,20,6,2,0.055915746823611556,114.0,11,3,0,94,1,66,69,20,99
Spiders,1,100,20,6,3,0.015766877123283507,44.0,3,0,0,31,38,35,37,72,62
Dreyfus,1,100,20,6,3,0.0359486851132651,37.0,1,0,0,31,38,35,37,72,62
Gravitation 2,1,100,20,6,3,0.016334533649242644,44.0,3,0,0,31,38,35,37,72,62
Gravitation 3,1,100,20,6,3,0.015479496072590138,44.0,3,0,0,31,38,35,37,72,62
Spiders,1,400,70,6,1,0.6438985608051695,186.0,18,1,0,352,310,242,86,255,199
Dreyfus,1,400,70,6,1,0.3897660765617843,128.0,10,1,0,352,310,242,86,255,199
Gravitation 2,1,400,70,6,1,0.6587357918097965,173.0,19,3,0,352,310,242,86,255,199
Gravitation 3,1,400,70,6,1,0.6457673271430551,163.0,15,3,0,352,310,242,86,255,199
Spiders,1,400,70,6,2,0.24447205969315178,136.0,10,3,0,47,17,74,192,56,378
Dreyfus,1,400,70,6,2,0.38706240511096723,120.0,5,1,0,47,17,74,192,56,378
Gravitation 2,1,400,70,6,2,0.253149546309011,143.0,12,3,0,47,17,74,192,56,378
Gravitation 3,1,400,70,6,2,0.2534282427675123,151.0,12,0,0,47,17,74,192,56,378
Spiders,1,400,70,6,3,0.5237499911180308,133.0,11,1,0,193,192,377,379,282,141
Dreyfus,1,400,70,6,3,0.3896227807906314,115.0,8,0,0,193,192,377,379,282,141
Gravitation 2,1,400,70,6,3,0.5251782117793056,163.0,15,2,0,193,192,377,379,282,141
