Spiders,0,100,8,6,0.00490679458807795,1,0.006365806076214401,53.0,0,0,0,8,68,27,37,24,45
Dreyfus,0,100,8,6,0.006100531260189593,1,0.009909909198641098,45.0,0,0,0,8,68,27,37,24,45
Gravitation 2,0,100,8,6,0.00490679458807795,1,0.0072721616976325,53.0,0,0,0,8,68,27,37,24,45
Gravitation 3,0,100,8,6,0.00490679458807795,1,0.006664634998432825,53.0,0,0,0,8,68,27,37,24,45
Spiders,0,100,8,6,0.00490679458807795,2,0.006706084188436705,58.0,1,0,0,66,47,93,82,38,74
Dreyfus,0,100,8,6,0.006100531260189593,2,0.009900435098068788,50.0,1,1,0,66,47,93,82,38,74
Gravitation 2,0,100,8,6,0.00490679458807795,2,0.008525901006702141,58.0,1,0,0,66,47,93,82,38,74
Gravitation 3,0,100,8,6,0.00490679458807795,2,0.007685469335099726,58.0,1,0,0,66,47,93,82,38,74
Spiders,0,100,8,6,0.00490679458807795,3,0.00580249184635219,82.0,1,0,0,93,63,55,66,47,18
Dreyfus,0,100,8,6,0.006100531260189593,3,0.01032479585287037,64.0,1,0,0,93,63,55,66,47,18
Gravitation 2,0,100,8,6,0.00490679458807795,3,0.008601693811280661,82.0,1,0,0,93,63,55,66,47,18
Gravitation 3,0,100,8,6,0.00490679458807795,3,0.008257073402962709,82.0,1,0,0,93,63,55,66,47,18
Spiders,0,100,8,6,0.00490679458807795,4,0.006383570014787496,60.0,1,0,0,93,14,98,80,34,54
Dreyfus,0,100,8,6,0.006100531260189593,4,0.01026716174105545,60.0,1,1,0,93,14,98,80,34,54
Gravitation 2,0,100,8,6,0.00490679458807795,4,0.008927366018453967,70.0,1,1,0,93,14,98,80,34,54
Gravitation 3,0,100,8,6,0.00490679458807795,4,0.00850892657651009,70.0,1,1,0,93,14,98,80,34,54
Spiders,0,100,8,6,0.00490679458807795,5,0.007741129675962077,75.0,0,0,0,46,91,25,98,55,86
Dreyfus,0,100,8,6,0.006100531260189593,5,0.010532436557080277,73.0,0,0,0,46,91,25,98,55,86
Gravitation 2,0,100,8,6,0.00490679458807795,5,0.009903593131592892,102.0,1,0,0,46,91,25,98,55,86
Gravitation 3,0,100,8,6,0.00490679458807795,5,0.009642265857473215,102.0,1,0,0,46,91,25,98,55,86
Spiders,0,100,8,6,0.00490679458807795,6,0.006293566059350497,77.0,2,0,0,65,44,19,48,50,32
Dreyfus,0,100,8,6,0.006100531260189593,6,0.01071836578081195,69.0,1,0,0,65,44,19,48,50,32
Gravitation 2,0,100,8,6,0.00490679458807795,6,0.0087659115545341,81.0,2,0,0,65,44,19,48,50,32
Gravitation 3,0,100,8,6,0.00490679458807795,6,0.00889578568321292,81.0,2,0,0,65,44,19,48,50,32
Spiders,0,100,8,6,0.00490679458807795,7,0.006015264355038741,78.0,0,0,0,59,96,26,79,23,47
Dreyfus,0,100,8,6,0.006100531260189593,7,0.010196895495144132,70.0,0,0,0,59,96,26,79,23,47
Gravitation 2,0,100,8,6,0.00490679458807795,7,0.008894206666450855,84.0,0,0,0,59,96,26,79,23,47
Gravitation 3,0,100,8,6,0.00490679458807795,7,0.008406290486976664,84.0,0,0,0,59,96,26,79,23,47
Spiders,0,100,8,6,0.00490679458807795,8,0.008090487134566171,83.0,0,0,0,6,37,97,26,92,47
Dreyfus,0,100,8,6,0.006100531260189593,8,0.010384798489828373,74.0,0,0,0,6,37,97,26,92,47
Gravitation 2,0,100,8,6,0.00490679458807795,8,0.009885039684638774,87.0,1,0,0,6,37,97,26,92,47
Gravitation 3,0,100,8,6,0.00490679458807795,8,0.010100575472658913,87.0,1,0,0,6,37,97,26,92,47
Spiders,0,100,8,6,0.00490679458807795,9,0.007758498860344687,108.0,2,1,0,60,77,8,71,29,97
Dreyfus,0,100,8,6,0.006100531260189593,9,0.010341770283062435,86.0,1,0,0,60,77,8,71,29,97
Gravitation 2,0,100,8,6,0.00490679458807795,9,0.010436511288785588,119.0,2,1,0,60,77,8,71,29,97
Gravitation 3,0,100,8,6,0.00490679458807795,9,0.009763060639770227,119.0,2,1,0,60,77,8,71,29,97
Spiders,0,100,8,6,0.00490679458807795,10,0.005584587533188912,64.0,0,0,0,69,46,30,48,79,59
Dreyfus,0,100,8,6,0.006100531260189593,10,0.0110827238986555,53.0,0,0,0,69,46,30,48,79,59
Gravitation 2,0,100,8,6,0.00490679458807795,10,0.008378262939450265,64.0,0,0,0,69,46,30,48,79,59
Gravitation 3,0,100,8,6,0.00490679458807795,10,0.007923506111979117,64.0,0,0,0,69,46,30,48,79,59
Spiders,0,400,26,6,0.06112452836743093,1,0.03443756607198267,183.0,1,1,0,45,314,389,57,84,311
Dreyfus,0,400,26,6,0.10046138869787175,1,0.04066560293570798,147.0,3,0,1,45,314,389,57,84,311
Gravitation 2,0,400,26,6,0.06112452836743093,1,0.04887096353971354,197.0,2,1,0,45,314,389,57,84,311
Gravitation 3,0,400,26,6,0.06112452836743093,1,0.046909824721244386,197.0,2,1,0,45,314,389,57,84,311
Spiders,0,400,26,6,0.06112452836743093,2,0.03020343262453906,116.0,3,0,0,326,247,168,204,257,355
Dreyfus,0,400,26,6,0.10046138869787175,2,0.04044217206387757,100.0,3,0,0,326,247,168,204,257,355
Gravitation 2,0,400,26,6,0.06112452836743093,2,0.04019071364452065,115.0,3,1,0,326,247,168,204,257,355
Gravitation 3,0,400,26,6,0.06112452836743093,2,0.03976122108524249,115.0,3,1,0,326,247,168,204,257,355
Spiders,0,400,26,6,0.06112452836743093,3,0.03451809592684729,165.0,4,0,0,330,365,233,52,302,297
