['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 8, 4, 0.25, 1, 388.0296261617967, 0.016493275695061205, 0.3, 0, 2.046647580408858, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 8, 4, 0.25, 1, 379.0064790743138, 0.01576803514603771, 0.2, 0, 2.3311843760215156, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 8, 4, 0.25, 1, 388.00471446244546, 0.016156949471711396, 0.2, '50(*)', 29.97025089072339, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 8, 4, 0.25, 1, 379.0052689727068, 0.015659625600508487, 0.2, '50(*)', 49.36625652936295, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 8, 4, 0.25, 1, 362.02263156022434, 0.015082802600350904, 0.3, 0, 2.379791214334503, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 8, 4, 0.25, 1, 368.0213755231195, 0.015267533246875626, 0.3, 0, 2.2763092466401957, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 8, 4, 0.25, 1, 362.0062954780271, 0.01475757624738088, 0.2, '50(*)', 60.09056769728696, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 8, 4, 0.25, 1, 368.00467286636865, 0.015109857255421468, 0.2, '50(*)', 63.17100400934572, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 8, 4, 0.25, 1, 330.01002146260845, 0.014014106183624175, 0.2727272727272727, 0, 2.180530888075481, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 8, 4, 0.25, 1, 373.016144947027, 0.01574585779213729, 0.21428571428571427, 0, 2.3393924247843643, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 8, 4, 0.25, 1, 330.0036283020838, 0.013428942560134516, 0.15384615384615385, '50(*)', 33.94912343991908, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 8, 4, 0.25, 1, 373.0038249842653, 0.015355756975272309, 0.18181818181818182, '50(*)', 64.04737729877962, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 8, 4, 0.25, 1, 333.0100869106089, 0.013694547083305498, 0.2, 0, 2.186064329138901, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 8, 4, 0.25, 1, 331.00703699828205, 0.01362563220361875, 0.2, 0, 2.3405747532838745, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 8, 4, 0.25, 1, 333.0053630389693, 0.013553063985032605, 0.16666666666666666, '50(*)', 52.25224496163332, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 8, 4, 0.25, 1, 331.00285431001504, 0.013471434053197166, 0.16666666666666666, '50(*)', 59.640989851167205, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 8, 4, 0.25, 1, 350.02170899374556, 0.014551937348323602, 0.3, 0, 2.385701830505184, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 8, 4, 0.25, 1, 357.01510629462734, 0.014724669117284149, 0.25, 0, 2.4709172334128766, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 8, 4, 0.25, 1, 350.00328174125457, 0.01410671657115289, 0.15384615384615385, '50(*)', 55.844889687827276, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 8, 4, 0.25, 1, 357.0027654825572, 0.014381675194568866, 0.13333333333333333, '50(*)', 64.34276544788639, 0.22, 4.0]
(nq, nu, np): (8, 8, 2)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 8, 8, 0.25, 2, 568.0252590105287, 0.02373801599187254, 0.25, 0, 4.858130330164272, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 8, 8, 0.25, 2, 506.01204646941125, 0.021060521633410444, 0.21428571428571427, 0, 3.0090321892013208, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 8, 8, 0.25, 2, 562.0122560168894, 0.02303837641358986, 0.21428571428571427, '50(*)', 209.1574600874328, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 8, 8, 0.25, 2, 493.00638877495186, 0.0200443686958846, 0.18181818181818182, '50(*)', 117.82941011352716, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 8, 8, 0.25, 2, 622.0400490611131, 0.025889859330595347, 0.2727272727272727, 0, 8.406370000056427, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 8, 8, 0.25, 2, 576.080231862133, 0.02415346359431973, 0.36363636363636365, 0, 3.6923831668033245, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 8, 8, 0.25, 2, 624.0153832295896, 0.025723589523098327, 0.2, '50(*)', 337.9932349667497, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 8, 8, 0.25, 2, 572.0205170024143, 0.023512830394836308, 0.25, '50(*)', 122.75763856566732, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 573.0514607498521, 0.02420094755694459, 0.3333333333333333, 0, 4.788798361161298, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 512.0358674668585, 0.021606555066307338, 0.3, 0, 2.9552434267616263, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 575.0111180540399, 0.023465286339739124, 0.2, '50(*)', 234.51890570981527, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 506.0098697539916, 0.020691287813365277, 0.18181818181818182, '50(*)', 123.21659960476154, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 560.0339423275221, 0.023325214862793535, 0.2727272727272727, 0, 3.382239003806035, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 559.0373251055438, 0.023473865817132004, 0.2727272727272727, 0, 2.8255075057845715, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 560.007422271518, 0.022962141122304387, 0.2, '50(*)', 147.89497341043784, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 561.008751909342, 0.023167194326516878, 0.2, '50(*)', 113.44182446013929, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 563.0269344391387, 0.02329869789969067, 0.25, 0, 2.5808953367302365, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 539.021178657989, 0.022577282654615255, 0.2, 0, 3.171976454010064, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 562.0084267411678, 0.022662146690183876, 0.18181818181818182, '50(*)', 84.37974964809814, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 539.0109444202368, 0.021848134477845095, 0.2, '50(*)', 115.76642597592127, 0.22, 4.0]
(nq, nu, np): (8, 16, 4)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 771.1064666000883, 0.032077252064507726, 0.3333333333333333, 0, 5.27634362858862, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 796.0413076431612, 0.033074947145287026, 0.21428571428571427, 0, 9.671748352873692, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 775.0285006827354, 0.03181449917491323, 0.21052631578947367, '50(*)', 264.3465243698738, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 803.0194171992039, 0.03318955121720134, 0.2, '50(*)', 408.97003587525387, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 732.0592396603042, 0.030597556623832282, 0.3333333333333333, 0, 4.638571312010299, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 721.0549017940328, 0.030113828224549267, 0.3, 0, 3.0185903708988917, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 734.024712938277, 0.030101629292205116, 0.23076923076923078, '50(*)', 237.97461739818937, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 717.0220478517618, 0.029606702444323747, 0.21428571428571427, '50(*)', 114.93367414226032, 0.22, 4.0]
	sample: 2
